EnsemblId,gene_name,biotype,logFC,FDR,AveExpr,P.value
ENSG00000125843,AP5S1,protein_coding,0.150430083,0.072948089,4.332922483,0.008549202
ENSG00000006468,ETV1,protein_coding,-0.639666396,0.072990367,4.108692785,0.008558944
ENSG00000100344,PNPLA3,protein_coding,-0.573430182,0.0732143,2.809953535,0.008590004
ENSG00000091622,PITPNM3,protein_coding,-1.114956544,0.073395044,3.533683721,0.008617639
ENSG00000154529,CNTNAP3B,protein_coding,0.678253984,0.073395044,4.085160353,0.008620837
ENSG00000167526,RPL13,protein_coding,0.247950103,0.073447993,8.844488795,0.008634649
ENSG00000270959,LPP-AS2,lncRNA,-0.237495066,0.073447993,3.08578736,0.00863669
ENSG00000230102,LINC02028,lncRNA,-0.446609177,0.073594272,1.131894017,0.008658717
ENSG00000282164,PEG13,lncRNA,-0.610302562,0.073647473,1.122461991,0.008669807
ENSG00000186111,PIP5K1C,protein_coding,-0.160938837,0.073664434,7.361309408,0.008679297
ENSG00000196730,DAPK1,protein_coding,-0.235563943,0.073664434,7.493049927,0.008681466
ENSG00000196814,MVB12B,protein_coding,0.18058091,0.073811184,4.745306578,0.008703601
ENSG00000135547,HEY2,protein_coding,-0.933983343,0.073871744,1.175666373,0.008715587
ENSG00000155100,OTUD6B,protein_coding,0.156004313,0.073993147,3.893142926,0.008734763
ENSG00000025434,NR1H3,protein_coding,0.177814155,0.074036272,4.562969537,0.008744709
ENSG00000184557,SOCS3,protein_coding,1.242255278,0.074075491,5.921746805,0.0087542
ENSG00000204304,PBX2,protein_coding,-0.095223861,0.074295887,7.014077118,0.008785118
ENSG00000154856,APCDD1,protein_coding,0.533954082,0.074302918,4.882556993,0.008800039
ENSG00000167257,RNF214,protein_coding,-0.105624444,0.074302918,5.167666142,0.008795768
ENSG00000196372,ASB13,protein_coding,0.219871889,0.074302918,4.440795111,0.008800569
ENSG00000086598,TMED2,protein_coding,0.082845557,0.074623845,7.711980996,0.008851515
ENSG00000170633,RNF34,protein_coding,0.108223133,0.074623845,4.586090233,0.008853262
ENSG00000198887,SMC5,protein_coding,0.299704752,0.074623845,4.920402577,0.008846338
ENSG00000167971,CASKIN1,protein_coding,-0.264614775,0.074669953,4.648027841,0.008863629
ENSG00000160818,GPATCH4,protein_coding,0.212018759,0.074671552,2.690170387,0.008868716
ENSG00000178038,ALS2CL,protein_coding,-0.429013713,0.074693156,4.245123886,0.00887618
ENSG00000120341,SEC16B,protein_coding,-0.29661436,0.074867458,5.105635839,0.008901804
ENSG00000126822,PLEKHG3,protein_coding,-0.154157646,0.074912424,8.394214676,0.008921889
ENSG00000137522,RNF121,protein_coding,0.14248325,0.074912424,4.537836865,0.008913111
ENSG00000249484,LINC01470,lncRNA,0.518426604,0.074912424,1.781927536,0.008917865
ENSG00000108591,DRG2,protein_coding,0.088271956,0.074955989,4.59159449,0.008931993
ENSG00000173575,CHD2,protein_coding,0.138819088,0.075151969,7.089477756,0.008960275
ENSG00000198301,SDAD1,protein_coding,-0.103274115,0.075219355,6.237428529,0.008973243
ENSG00000147606,SLC26A7,protein_coding,0.506821243,0.075367971,0.693337886,0.0090058
ENSG00000176894,PXMP2,protein_coding,-0.259029735,0.075367971,3.381241171,0.009003233
ENSG00000198892,SHISA4,protein_coding,0.16198952,0.075367971,4.787742312,0.009000836
ENSG00000272196,H2AC19,protein_coding,0.570654086,0.075460972,3.412319092,0.009021862
ENSG00000162543,UBXN10,protein_coding,0.289475997,0.075499995,3.100390145,0.009031479
ENSG00000168906,MAT2A,protein_coding,0.589904424,0.075583726,7.103434376,0.009051409
ENSG00000175309,PHYKPL,protein_coding,0.253567333,0.075583726,4.510455664,0.009049847
ENSG00000168306,ACOX2,protein_coding,-0.189009959,0.075722223,4.711471617,0.00907296
ENSG00000267248,ENSG00000267248,lncRNA,-0.298227768,0.076129819,0.742550225,0.009126791
ENSG00000048392,RRM2B,protein_coding,-0.233507269,0.076438509,6.617362106,0.009173641
ENSG00000273619,ENSG00000273619,lncRNA,0.284366716,0.076438509,0.975345575,0.009173824
ENSG00000119917,IFIT3,protein_coding,0.767408841,0.076440455,3.14629752,0.009179071
ENSG00000128266,GNAZ,protein_coding,-0.232994384,0.076463795,5.001946798,0.009186888
ENSG00000013563,DNASE1L1,protein_coding,0.158433848,0.076629724,4.107698465,0.009216875
ENSG00000095777,MYO3A,protein_coding,0.749311719,0.076629724,4.255663227,0.009213183
ENSG00000177380,PPFIA3,protein_coding,-0.299786186,0.076789061,2.872541346,0.009241076
ENSG00000138670,RASGEF1B,protein_coding,0.888827121,0.077056783,1.389381138,0.009278348
ENSG00000172175,MALT1,protein_coding,-0.186282928,0.077248975,7.717285972,0.009308543
ENSG00000250644,ENSG00000250644,protein_coding,-0.413925814,0.077248975,3.288642727,0.009311622
ENSG00000159882,ZNF230,protein_coding,-0.123245211,0.077317522,2.993336021,0.009324956
ENSG00000124171,PARD6B,protein_coding,0.186491491,0.077504852,5.32909689,0.009352632
ENSG00000113211,PCDHB6,protein_coding,0.437379866,0.078090132,1.941338677,0.009430887
ENSG00000166024,R3HCC1L,protein_coding,0.128025744,0.078090132,4.529897947,0.009433501
ENSG00000205181,LINC00654,lncRNA,0.362783161,0.078255188,4.452081063,0.009458572
ENSG00000149499,EML3,protein_coding,0.181531433,0.078413119,5.376142164,0.009482804
ENSG00000242125,SNHG3,lncRNA,0.269054054,0.0787598,4.466268662,0.009529894
ENSG00000059691,GATB,protein_coding,-0.136150819,0.07879192,4.537429971,0.009538948
ENSG00000225867,ENSG00000225867,lncRNA,-0.457090581,0.079191989,0.371001214,0.009602166
ENSG00000240065,PSMB9,protein_coding,0.727056969,0.079191989,2.4289066,0.009602964
ENSG00000267254,ZNF790-AS1,lncRNA,0.323846259,0.079191989,0.589288405,0.009596635
ENSG00000109586,GALNT7,protein_coding,0.345456304,0.079269291,4.389107841,0.009617536
ENSG00000124615,MOCS1,protein_coding,0.138536651,0.079354987,4.657539589,0.009633138
ENSG00000101782,RIOK3,protein_coding,-0.203441507,0.079529889,7.14716547,0.009664801
ENSG00000165194,PCDH19,protein_coding,0.935282029,0.079529889,7.128432392,0.009662998
ENSG00000142541,RPL13A,protein_coding,0.220026716,0.079583642,9.412018368,0.009676552
ENSG00000144306,SCRN3,protein_coding,-0.104091152,0.079627596,4.88051993,0.009687119
ENSG00000124614,RPS10,protein_coding,0.30213346,0.079639412,7.913850004,0.009693779
ENSG00000153237,CCDC148,protein_coding,-0.452367964,0.080014569,4.739696766,0.009744691
ENSG00000058063,ATP11B,protein_coding,-0.137724677,0.080023325,6.455430086,0.009751404
ENSG00000138757,G3BP2,protein_coding,-0.125611186,0.080023325,7.462662368,0.009756254
ENSG00000014824,SLC30A9,protein_coding,-0.100117578,0.080147512,6.57812125,0.009776651
ENSG00000100916,BRMS1L,protein_coding,0.150459111,0.080182833,3.579210409,0.009791477
ENSG00000138823,MTTP,protein_coding,-0.380017995,0.080182833,3.306789589,0.009791051
ENSG00000135486,HNRNPA1,protein_coding,0.207918137,0.080200469,8.373573102,0.009800882
ENSG00000256139,ENSG00000256139,lncRNA,-0.365771869,0.080200469,0.359619307,0.00980415
ENSG00000070214,SLC44A1,protein_coding,-0.175292691,0.080321247,6.134238376,0.009824182
ENSG00000081059,TCF7,protein_coding,0.809260998,0.080438027,1.572627912,0.009854044
ENSG00000111684,LPCAT3,protein_coding,0.307937344,0.080438027,4.197425691,0.009846961
ENSG00000275457,ENSG00000275457,lncRNA,0.2686768,0.080438027,0.374216341,0.009854291
ENSG00000156958,GALK2,protein_coding,-0.143628757,0.080530572,4.35163025,0.00987091
ENSG00000151304,SRFBP1,protein_coding,-0.115131751,0.080571231,4.245845443,0.009881178
ENSG00000114745,GORASP1,protein_coding,0.118519957,0.080642438,5.022519197,0.009902633
ENSG00000162520,SYNC,protein_coding,0.184459209,0.080642438,5.99423945,0.009906207
ENSG00000198354,DCAF12L2,protein_coding,-0.512132251,0.080642438,1.26302974,0.009916354
ENSG00000272168,CASC15,lncRNA,0.323914377,0.080642438,4.665370602,0.009915491
ENSG00000274211,SOCS7,protein_coding,0.103508534,0.080642438,6.001442253,0.009904202
ENSG00000117305,HMGCL,protein_coding,-0.110497419,0.080724265,5.465835997,0.009937005
ENSG00000141524,TMC6,protein_coding,-0.494128005,0.080724265,4.054631046,0.009933498
ENSG00000007968,E2F2,protein_coding,-0.85070255,0.080735617,0.308824604,0.009943697
ENSG00000139714,MORN3,protein_coding,0.469454635,0.080906074,1.481752182,0.009969997
ENSG00000145715,RASA1,protein_coding,-0.100165629,0.080918048,5.883509713,0.009976779
ENSG00000081721,DUSP12,protein_coding,0.168386637,0.081046304,3.05592958,0.009997908
ENSG00000154174,TOMM70,protein_coding,0.094317919,0.081198502,6.07604753,0.010022008
ENSG00000225470,JPX,lncRNA,-0.166072682,0.081235996,3.880393204,0.010031964
ENSG00000168591,TMUB2,protein_coding,0.176849962,0.081326611,4.389970826,0.010048487
ENSG00000179978,NAIPP2,unprocessed_pseudogene,0.497160532,0.081450344,3.181281212,0.010069117
ENSG00000203722,RAET1G,protein_coding,-0.734334949,0.081511164,2.160993267,0.010081982
ENSG00000235034,C19orf81,protein_coding,0.256878452,0.081566845,0.988181913,0.010094218
ENSG00000100219,XBP1,protein_coding,0.319817272,0.081610412,6.10771445,0.010117756
ENSG00000105053,VRK3,protein_coding,0.150829628,0.081610412,4.051322005,0.010136798
ENSG00000108691,CCL2,protein_coding,0.891068743,0.081610412,6.182869084,0.010137075
ENSG00000120802,TMPO,protein_coding,-0.232153586,0.081610412,6.224788338,0.010117122
ENSG00000130045,NXNL2,protein_coding,-0.413940057,0.081610412,1.44781881,0.010133109
ENSG00000243069,ARHGEF26-AS1,lncRNA,-0.29554922,0.081610412,2.254601456,0.0101361
ENSG00000254343,ENSG00000254343,lncRNA,0.450568776,0.081610412,1.080542863,0.010126005
ENSG00000197563,PIGN,protein_coding,-0.142775858,0.081671645,5.584559753,0.010150037
ENSG00000105290,APLP1,protein_coding,-0.219372176,0.081708814,5.556300586,0.010165374
ENSG00000225449,RAB6C-AS1,transcribed_unprocessed_pseudogene,0.832103095,0.081708814,0.252194857,0.010164297
ENSG00000152601,MBNL1,protein_coding,0.119263436,0.08175871,6.833030919,0.010180442
ENSG00000204228,HSD17B8,protein_coding,-0.208448075,0.08175871,3.022486046,0.010182305
ENSG00000004864,SLC25A13,protein_coding,-0.278750742,0.081760308,4.111242713,0.010193228
ENSG00000166348,USP54,protein_coding,0.252352473,0.081760308,5.627556409,0.010189726
ENSG00000170852,KBTBD2,protein_coding,-0.118217958,0.081794544,5.898430795,0.010202861
ENSG00000183722,LHFPL6,protein_coding,0.802147291,0.082056769,2.135592748,0.010241752
ENSG00000197410,DCHS2,protein_coding,-0.907670733,0.082056769,1.981147321,0.010246333
ENSG00000173517,PEAK1,protein_coding,-0.221769234,0.082266107,7.188990911,0.010277868
ENSG00000128052,KDR,protein_coding,0.900015536,0.082330516,2.639492686,0.010291315
ENSG00000124228,DDX27,protein_coding,0.142015774,0.082465574,4.943751011,0.010313605
ENSG00000107560,RAB11FIP2,protein_coding,-0.107738762,0.082793277,5.933687849,0.010360019
ENSG00000071909,MYO3B,protein_coding,-0.681480295,0.082899194,0.598277361,0.010380177
ENSG00000162722,TRIM58,protein_coding,-0.909887782,0.082899194,1.985225258,0.010387587
ENSG00000166002,SMCO4,protein_coding,-0.354157394,0.082899194,2.397758236,0.010389583
ENSG00000116675,DNAJC6,protein_coding,-0.269952818,0.082996715,7.982847222,0.010412691
ENSG00000163013,FBXO41,protein_coding,-0.275753458,0.082996715,4.745790401,0.010410981
ENSG00000115107,STEAP3,protein_coding,-0.413295549,0.083141446,7.879786501,0.010436302
ENSG00000147536,GINS4,protein_coding,-0.201990331,0.083160366,2.982393535,0.01044413
ENSG00000139180,NDUFA9,protein_coding,-0.122476191,0.083193759,4.911119162,0.01046423
ENSG00000183963,SMTN,protein_coding,0.904801395,0.083193759,1.889466829,0.010470148
ENSG00000213719,CLIC1,protein_coding,0.186646048,0.083193759,6.796794792,0.010461912
ENSG00000227946,ENSG00000227946,lncRNA,0.170830924,0.083193759,2.184469897,0.010465977
ENSG00000160180,TFF3,protein_coding,0.687804283,0.083592638,1.109473847,0.010525831
ENSG00000172936,MYD88,protein_coding,0.184837389,0.083772837,4.386465765,0.010554015
ENSG00000120942,UBIAD1,protein_coding,0.148716549,0.083893402,4.719599292,0.010574706
ENSG00000131871,SELENOS,protein_coding,0.1326758,0.084019883,3.901382511,0.010596159
ENSG00000119686,FLVCR2,protein_coding,0.463072038,0.084094663,2.205835571,0.010611105
ENSG00000177853,ZNF518A,protein_coding,-0.144674165,0.084210431,6.372506459,0.010631236
ENSG00000169018,FEM1B,protein_coding,-0.075498062,0.084221632,7.324611333,0.010638173
ENSG00000174899,SLC66A1L,transcribed_unitary_pseudogene,0.427890426,0.084256228,1.600026505,0.010648069
ENSG00000071889,FAM3A,protein_coding,0.105618594,0.08437408,5.432186603,0.010668496
ENSG00000176769,TCERG1L,protein_coding,-0.712011171,0.084526176,0.960199321,0.010693271
ENSG00000204514,ZNF814,protein_coding,0.242190667,0.084786787,4.188721631,0.010736724
ENSG00000269940,ENSG00000269940,lncRNA,0.286098371,0.084786787,1.098503577,0.010737361
ENSG00000063241,ISOC2,protein_coding,-0.190823653,0.084946222,5.853485898,0.010763123
ENSG00000012061,ERCC1,protein_coding,0.154227654,0.08504818,6.965333323,0.010809061
ENSG00000035687,ADSS2,protein_coding,-0.115366201,0.08504818,6.218710222,0.010805133
ENSG00000111907,TPD52L1,protein_coding,0.386932121,0.08504818,8.178311262,0.010804143
ENSG00000134326,CMPK2,protein_coding,0.844499359,0.08504818,1.318642042,0.010810546
ENSG00000141551,CSNK1D,protein_coding,0.150337207,0.08504818,7.206016643,0.010808016
ENSG00000165806,CASP7,protein_coding,-0.180519257,0.08504818,3.630437561,0.010788194
ENSG00000204843,DCTN1,protein_coding,0.164532143,0.08504818,7.183195989,0.010815085
ENSG00000161682,FAM171A2,protein_coding,-0.660052174,0.08510122,1.072444222,0.010827411
ENSG00000166224,SGPL1,protein_coding,0.164227072,0.085307451,5.924171366,0.010859635
ENSG00000178662,CSRNP3,protein_coding,0.346165015,0.085307451,5.974478418,0.010864839
ENSG00000077279,DCX,protein_coding,-0.750168432,0.085422614,0.436212567,0.010885109
ENSG00000144191,CNGA3,protein_coding,1.139008357,0.085589843,0.570539909,0.010912031
ENSG00000184640,SEPTIN9,protein_coding,0.311638803,0.08561037,5.901532305,0.010920263
ENSG00000086189,DIMT1,protein_coding,0.187465145,0.08575548,3.458624569,0.010951868
ENSG00000111450,STX2,protein_coding,0.179931106,0.08575548,4.405884451,0.010965449
ENSG00000140553,UNC45A,protein_coding,0.145516418,0.08575548,5.620569028,0.010946018
ENSG00000165124,SVEP1,protein_coding,1.156123617,0.08575548,1.620308932,0.010966893
ENSG00000221909,FAM200A,protein_coding,-0.164932738,0.08575548,3.227671856,0.010965649
ENSG00000063177,RPL18,protein_coding,0.201864822,0.086106246,8.17575782,0.011017398
ENSG00000072501,SMC1A,protein_coding,-0.13227806,0.086136663,6.503832831,0.011026939
ENSG00000115423,DNAH6,protein_coding,-0.339209894,0.086184644,3.241148964,0.011038734
ENSG00000258818,RNASE4,protein_coding,0.162270458,0.086375343,4.673178782,0.011068824
ENSG00000275714,H3C1,protein_coding,0.57571617,0.086391991,0.69807606,0.011076623
ENSG00000086062,B4GALT1,protein_coding,0.569419584,0.086625145,6.241739624,0.011112197
ENSG00000166471,TMEM41B,protein_coding,-0.177020476,0.086671788,5.483021827,0.011123865
ENSG00000143207,COP1,protein_coding,-0.106485113,0.086882567,5.134827161,0.011156615
ENSG00000069943,PIGB,protein_coding,-0.193519555,0.086932042,3.92012109,0.011169674
ENSG00000106299,WASL,protein_coding,-0.106261192,0.086932042,7.189520637,0.011174371
ENSG00000229117,RPL41,protein_coding,0.237923442,0.086973581,8.37314982,0.011185414
ENSG00000137040,RANBP6,protein_coding,-0.135582943,0.086989641,5.095064025,0.011198889
ENSG00000276710,CSPG4P10,transcribed_unprocessed_pseudogene,0.508922592,0.086989641,3.019401304,0.011198576
ENSG00000162040,HS3ST6,protein_coding,-1.00548134,0.087003098,1.8040986,0.011206328
ENSG00000258301,VASH1-AS1,lncRNA,-0.16328738,0.087074533,3.054134788,0.011221239
ENSG00000119559,C19orf25,protein_coding,0.139613786,0.087139994,3.844393384,0.01124682
ENSG00000131323,TRAF3,protein_coding,0.265799937,0.087139994,4.993629042,0.011242499
ENSG00000145020,AMT,protein_coding,-0.14949652,0.087139994,4.875183019,0.011240301
ENSG00000213339,QTRT1,protein_coding,0.191836194,0.087158864,3.645250294,0.011254971
ENSG00000229036,VDAC1P8,transcribed_processed_pseudogene,0.433486158,0.087226192,0.342895088,0.011269386
ENSG00000107317,PTGDS,protein_coding,-0.509497808,0.087376635,10.55979062,0.011294553
ENSG00000168118,RAB4A,protein_coding,0.31597934,0.087430438,6.227219501,0.011307242
ENSG00000105939,ZC3HAV1,protein_coding,0.289493168,0.087700243,5.59760359,0.011365142
ENSG00000110042,DTX4,protein_coding,0.738320223,0.087700243,3.619570497,0.011360709
ENSG00000131409,LRRC4B,protein_coding,-0.741746494,0.087700243,3.405856608,0.011351729
ENSG00000198947,DMD,protein_coding,0.379337203,0.087700243,7.063393704,0.011358792
ENSG00000120149,MSX2,protein_coding,-0.403845911,0.087856013,6.569319734,0.01139109
ENSG00000095261,PSMD5,protein_coding,0.317634229,0.087946389,4.654865214,0.011408575
ENSG00000106771,TMEM245,protein_coding,-0.211918986,0.087962871,9.57029445,0.011416482
ENSG00000260400,ENSG00000260400,lncRNA,-0.375327607,0.088055236,2.417058411,0.011434245
ENSG00000047457,CP,protein_coding,0.621056392,0.088070077,10.45176351,0.011465051
ENSG00000114021,NIT2,protein_coding,0.125944527,0.088070077,5.182501441,0.011445099
ENSG00000158458,NRG2,protein_coding,0.389376414,0.088070077,1.34247796,0.011456388
ENSG00000177119,ANO6,protein_coding,0.375148874,0.088070077,6.702235638,0.011464549
ENSG00000244405,ETV5,protein_coding,-0.757298609,0.088070077,5.435292613,0.011460728
ENSG00000153956,CACNA2D1,protein_coding,0.757358411,0.088307051,4.008707792,0.011501692
ENSG00000198133,TMEM229B,protein_coding,0.685291173,0.088336255,2.803779782,0.011511289
ENSG00000134627,PIWIL4,protein_coding,0.392520712,0.088457293,0.746235484,0.011538664
ENSG00000175220,ARHGAP1,protein_coding,0.209709266,0.088457293,6.697434821,0.011534637
ENSG00000168060,NAALADL1,protein_coding,0.485780009,0.088618249,2.910110954,0.011565472
ENSG00000121966,CXCR4,protein_coding,1.198149089,0.088722087,1.64564189,0.011588268
ENSG00000230454,ENSG00000230454,lncRNA,0.330542759,0.088722087,2.075356161,0.011590661
ENSG00000105559,PLEKHA4,protein_coding,0.477209411,0.088730669,4.225703019,0.011604236
ENSG00000140367,UBE2Q2,protein_coding,0.143249708,0.088730669,5.417236117,0.011598632
ENSG00000147124,ZNF41,protein_coding,-0.122084911,0.088730669,4.725981911,0.01160924
ENSG00000108771,DHX58,protein_coding,0.314530744,0.088900889,2.86271531,0.011643171
ENSG00000182307,C8orf33,protein_coding,0.163425835,0.088900889,6.047838062,0.011638051
ENSG00000141526,SLC16A3,protein_coding,-0.349247283,0.089144578,7.120296583,0.011680933
ENSG00000182326,C1S,protein_coding,0.465997698,0.089221485,7.304973612,0.011696862
ENSG00000146112,PPP1R18,protein_coding,0.381792178,0.089259389,4.872331017,0.011707685
ENSG00000161547,SRSF2,protein_coding,0.112786484,0.089343305,6.978899679,0.011724551
ENSG00000162980,ARL5A,protein_coding,-0.132833797,0.089347798,6.380802441,0.011731
ENSG00000106701,FSD1L,protein_coding,-0.418032797,0.089399719,4.334285311,0.011747474
ENSG00000139278,GLIPR1,protein_coding,1.305113704,0.089399719,3.889996498,0.01175334
ENSG00000164466,SFXN1,protein_coding,-0.08494016,0.089399719,6.118570507,0.011755406
ENSG00000105983,LMBR1,protein_coding,-0.09456517,0.089634627,6.035577299,0.011792173
ENSG00000113300,CNOT6,protein_coding,0.114160931,0.08964329,5.244931696,0.011799192
ENSG00000165698,SPACA9,protein_coding,-0.15473929,0.08974415,5.892580764,0.011818353
ENSG00000164946,FREM1,protein_coding,-0.378949807,0.089773184,1.949981462,0.011828064
ENSG00000071282,LMCD1,protein_coding,0.3227474,0.0898251,7.439333294,0.011855893
ENSG00000112715,VEGFA,protein_coding,-0.362008561,0.0898251,8.348742682,0.011871749
ENSG00000143013,LMO4,protein_coding,0.419916168,0.0898251,4.660725958,0.011871166
ENSG00000158161,EYA3,protein_coding,-0.134883419,0.0898251,5.223033687,0.01185521
ENSG00000166135,HIF1AN,protein_coding,0.09705044,0.0898251,6.219073698,0.011869428
ENSG00000166974,MAPRE2,protein_coding,-0.180810259,0.0898251,5.119989197,0.011876141
ENSG00000177694,NAALADL2,protein_coding,-0.207285304,0.0898251,4.389078746,0.011864624
ENSG00000269486,ERVK9-11,lncRNA,0.320304206,0.08982643,1.976007739,0.011882422
ENSG00000279692,ENSG00000279692,TEC,0.633479464,0.08982643,1.073747005,0.011888099
ENSG00000154153,RETREG1,protein_coding,-0.261462002,0.090108897,5.916406662,0.011931392
ENSG00000165671,NSD1,protein_coding,0.195073668,0.090288712,6.990800484,0.011961123
ENSG00000129244,ATP1B2,protein_coding,-0.707309455,0.09038682,5.273375277,0.011980047
ENSG00000117523,PRRC2C,protein_coding,-0.149152983,0.090545432,8.19552867,0.012007008
ENSG00000119326,CTNNAL1,protein_coding,-0.244806541,0.090601519,7.843289079,0.012020388
ENSG00000079974,RABL2B,protein_coding,0.147553027,0.090764973,4.312220583,0.012065759
ENSG00000111077,TNS2,protein_coding,-0.21125655,0.090764973,7.681464838,0.012069201
ENSG00000117592,PRDX6,protein_coding,0.133057889,0.090764973,7.330047507,0.012071837
ENSG00000213281,NRAS,protein_coding,-0.117687588,0.090764973,6.110103922,0.01204816
ENSG00000226007,ENSG00000226007,lncRNA,-0.502317033,0.090764973,0.807684089,0.012060528
ENSG00000011523,CEP68,protein_coding,-0.181167307,0.090998319,6.448416494,0.012114808
ENSG00000143222,UFC1,protein_coding,0.192986123,0.090998319,5.046270685,0.012108887
ENSG00000165188,RNF183,protein_coding,0.625511898,0.09109133,1.486991222,0.012133164
ENSG00000048707,VPS13D,protein_coding,-0.160321913,0.091107212,7.8824473,0.012148437
ENSG00000141994,DUS3L,protein_coding,0.174523104,0.091107212,3.58358996,0.012153205
ENSG00000168539,CHRM1,protein_coding,-0.575004098,0.091107212,6.64008362,0.012149824
ENSG00000128578,STRIP2,protein_coding,0.942279728,0.091200129,2.09835386,0.012187501
ENSG00000164855,TMEM184A,protein_coding,-0.500473848,0.091200129,1.036993762,0.012173363
ENSG00000170577,SIX2,protein_coding,-0.510278887,0.091200129,1.402800608,0.012189524
ENSG00000226721,EEF1DP2,processed_pseudogene,0.327136873,0.091200129,0.667081948,0.012182978
ENSG00000100601,ALKBH1,protein_coding,-0.212200811,0.091224525,3.920568964,0.012198767
ENSG00000158859,ADAMTS4,protein_coding,0.914552717,0.091261039,3.347861288,0.012209635
ENSG00000130707,ASS1,protein_coding,0.182990151,0.091293076,7.777471807,0.012219909
ENSG00000105792,CFAP69,protein_coding,0.268221354,0.09145969,2.373858584,0.012248209
ENSG00000135945,REV1,protein_coding,-0.094793967,0.091652387,5.793974705,0.012280025
ENSG00000105281,SLC1A5,protein_coding,1.296142923,0.092114199,2.12340229,0.012347942
ENSG00000082641,NFE2L1,protein_coding,0.114898449,0.092162905,8.646334722,0.012373256
ENSG00000153879,CEBPG,protein_coding,0.277856435,0.092162905,4.838448489,0.01237402
ENSG00000174306,ZHX3,protein_coding,0.303451737,0.092162905,7.818891791,0.012378648
ENSG00000232434,AJM1,protein_coding,-0.332607386,0.092162905,3.321580625,0.012366874
ENSG00000174628,IQCK,protein_coding,0.17573461,0.092415651,4.216146153,0.012424717
ENSG00000253251,SHLD3,protein_coding,-0.290229649,0.092415651,0.956849929,0.012423775
ENSG00000074276,CDHR2,protein_coding,-0.345706415,0.092588333,1.594765273,0.012454005
ENSG00000184014,DENND5A,protein_coding,0.100764325,0.092590731,6.887282269,0.0124604
ENSG00000259039,ENSG00000259039,lncRNA,-0.701631533,0.092619327,0.747647673,0.012470323
ENSG00000139926,FRMD6,protein_coding,-0.296237927,0.092652367,6.808996087,0.012480847
ENSG00000078061,ARAF,protein_coding,0.108114612,0.092708951,5.155412944,0.01249455
ENSG00000168769,TET2,protein_coding,-0.194968279,0.092823939,5.453516641,0.012516134
ENSG00000164308,ERAP2,protein_coding,-1.08562416,0.092888723,4.080330302,0.012537053
ENSG00000164327,RICTOR,protein_coding,-0.160941677,0.092888723,6.344290589,0.012537007
ENSG00000125812,GZF1,protein_coding,-0.150408911,0.092908674,4.266060422,0.012559579
ENSG00000182134,TDRKH,protein_coding,-0.180942045,0.092908674,3.499532668,0.012564119
ENSG00000215105,TTC3P1,processed_pseudogene,-0.197145257,0.092908674,5.650920621,0.012545867
ENSG00000269837,IPO5P1,transcribed_processed_pseudogene,-0.193920826,0.092908674,4.712559232,0.012552321
ENSG00000088854,C20orf194,protein_coding,0.176780329,0.092995062,4.973821265,0.012585428
ENSG00000105976,MET,protein_coding,-0.230468057,0.092995062,7.64907277,0.012587999
ENSG00000247746,USP51,protein_coding,0.184819818,0.093261277,3.484473613,0.012630151
ENSG00000143157,POGK,protein_coding,0.082137375,0.093371143,6.78130683,0.012651153
ENSG00000237945,LINC00649,lncRNA,-0.252538412,0.093404902,2.07903237,0.012661853
ENSG00000109381,ELF2,protein_coding,-0.098850405,0.093450057,6.283705656,0.01268636
ENSG00000115392,FANCL,protein_coding,-0.187676349,0.093450057,3.929403434,0.012678658
ENSG00000119698,PPP4R4,protein_coding,-0.288974768,0.093450057,4.685354778,0.012682702
ENSG00000122884,P4HA1,protein_coding,-0.208712298,0.093471347,7.158537214,0.01269538
ENSG00000075975,MKRN2,protein_coding,-0.142941215,0.093555579,6.150141472,0.01273161
ENSG00000108424,KPNB1,protein_coding,0.104577506,0.093555579,7.925628063,0.012730855
ENSG00000166902,MRPL16,protein_coding,-0.154197216,0.093555579,4.37189254,0.012743634
ENSG00000189308,LIN54,protein_coding,0.126542102,0.093555579,4.885102382,0.012730119
ENSG00000243789,JMJD7,protein_coding,-0.247142879,0.093555579,3.995721344,0.012732625
ENSG00000272913,ENSG00000272913,lncRNA,0.231419699,0.093555579,2.246292891,0.012738174
ENSG00000101361,NOP56,protein_coding,0.322029614,0.093604226,5.620916925,0.0127564
ENSG00000111802,TDP2,protein_coding,-0.097014212,0.093746731,5.211339813,0.012788117
ENSG00000170949,ZNF160,protein_coding,-0.125047484,0.093746731,5.686016549,0.012787961
ENSG00000005810,MYCBP2,protein_coding,-0.148734041,0.093808929,7.247204141,0.01282121
ENSG00000104731,KLHDC4,protein_coding,0.140755428,0.093808929,4.458664174,0.012820021
ENSG00000115561,CHMP3,protein_coding,0.11182693,0.093808929,6.941120675,0.012809733
ENSG00000233725,NRAD1,lncRNA,-0.630004918,0.093808929,3.592238024,0.012807847
ENSG00000136021,SCYL2,protein_coding,-0.147539156,0.094091953,6.350019664,0.012866063
ENSG00000070882,OSBPL3,protein_coding,0.407049658,0.094124452,4.774450989,0.012876679
ENSG00000212123,PRR22,protein_coding,0.309064045,0.094337818,0.946856281,0.012912056
ENSG00000103544,VPS35L,protein_coding,0.150132498,0.094356667,6.186001049,0.012921499
ENSG00000170412,GPRC5C,protein_coding,-0.23601258,0.094356667,5.000101674,0.012927012
ENSG00000197180,CH17-340M24.3,lncRNA,-0.250414235,0.094627832,2.196992991,0.012970368
